Customer,CustomerId,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
RackPeople ApS,74df0893-eb0e-4e6e-a68a-c5ddf3001c1f,99999003,Dynamics 365 Business Central Team Members (36 mo) ,189.9,21.1,n/a,9.00,0.00,21.10,189.90,189.90
RackPeople ApS,74df0893-eb0e-4e6e-a68a-c5ddf3001c1f,99999003,Dynamics 365 Business Central Essentials SMB ,863.8,123.4,n/a,7.00,0.00,123.40,863.80,863.80
SturupRaceway,23d864ed-1cc7-4e62-8e52-d2daa1bdceee,15154000,Office 365 Business Premium - Annually - Microsoft ,123.76,61.88,n/a,2.00,25.00,77.35,154.70,154.70
SturupRaceway,23d864ed-1cc7-4e62-8e52-d2daa1bdceee,15154000,Office 365 Business Premium - Annually - Microsoft ,20.63,6.87,n/a,3.00,25.00,8.60,25.79,25.79
SturupRaceway,23d864ed-1cc7-4e62-8e52-d2daa1bdceee,15154000,Office 365 Business Premium - Annually - Microsoft ,1677.6,559.2,n/a,3.00,25.00,699.00,2097.00,2097.00
SturupRaceway,23d864ed-1cc7-4e62-8e52-d2daa1bdceee,15154000,Office 365 Business Premium - Annually - Microsoft ,-1255.91,-627.95,n/a,2.00,25.00,-784.94,-1569.89,-1569.89
NextM2M A/S,0b90961b-156b-4552-b0ce-8d0d58d793cf,32880053,Visio Plan 2 - Monthly - Visio Plan 2 - Cycle fee ,75.5,75.5,n/a,1.00,25.00,94.38,94.38,94.38
NextM2M A/S,0b90961b-156b-4552-b0ce-8d0d58d793cf,32880053,Microsoft 365 Business Basic - Monthly - Microsoft ,302,30.2,n/a,10.00,25.00,37.75,377.50,377.50
NextM2M A/S,0b90961b-156b-4552-b0ce-8d0d58d793cf,32880053,Microsoft 365 Business Voice (uden ,60.4,60.4,n/a,1.00,25.00,75.50,75.50,75.50
NextM2M A/S,0b90961b-156b-4552-b0ce-8d0d58d793cf,32880053,Microsoft 365 Phone System - Virtual User - ,0,0,n/a,2.00,25.00,0.00,0.00,0.00
NextM2M A/S,0b90961b-156b-4552-b0ce-8d0d58d793cf,32880053,Microsoft 365 Business Voice (uden ,302,60.4,n/a,5.00,25.00,75.50,377.50,377.50
NextM2M A/S,0b90961b-156b-4552-b0ce-8d0d58d793cf,32880053,Microsoft 365 Business Premium - Monthly - ,775.6,110.8,n/a,7.00,25.00,138.50,969.50,969.50
Hi3G Denmark ApS,2d535a89-0fcc-43a0-96c9-8f132da2377a,26123445,Dynamics 365 Sales Professional - Monthly - ,306.8,306.8,n/a,1.00,15.00,352.82,352.82,352.82
Hi3G Denmark ApS,2d535a89-0fcc-43a0-96c9-8f132da2377a,26123445,Microsoft 365 Phone System - Virtual User - ,0,0,n/a,25.00,15.00,0.00,0.00,0.00
Hi3G Denmark ApS,2d535a89-0fcc-43a0-96c9-8f132da2377a,26123445,Microsoft 365 Business Basic - Monthly - Microsoft ,181.2,30.2,n/a,6.00,15.00,34.73,208.38,208.38
Hi3G Denmark ApS,2d535a89-0fcc-43a0-96c9-8f132da2377a,26123445,Microsoft 365 Business Voice (without calling ,241.6,60.4,n/a,4.00,15.00,69.46,277.84,277.84
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,206.26,34.37,n/a,6.00,25.00,42.97,257.83,257.83
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,80.21,11.45,n/a,7.00,25.00,14.32,100.26,100.26
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,183.34,22.91,n/a,8.00,25.00,28.65,229.18,229.18
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,4473.6,559.2,n/a,8.00,25.00,699.00,5592.00,5592.00
P. Vesterholm Rengøring A/S,7600e0fd-5b2d-4092-92ef-939104a0700a,10537487,Office 365 Business Premium - Annually - Microsoft ,-3767.72,-627.95,n/a,6.00,25.00,-784.94,-4709.65,-4709.65
MARTINE LIE Interior Concepts ApS,9da00977-f4db-4b65-a9c5-1484661a71ee,36973382,Exchange Online (plan 1) - Monthly - Exchange ,20.1,20.1,n/a,1.00,25.00,25.13,25.13,25.13
MARTINE LIE Interior Concepts ApS,9da00977-f4db-4b65-a9c5-1484661a71ee,36973382,Microsoft 365 Business Premium - Monthly - ,860.3,122.9,n/a,7.00,25.00,153.63,1075.38,1075.38
CANEA ApS,39a6bac8-2eb8-4d1a-ac31-a295a7c21a97,32353924,Exchange Online (plan 1) - Monthly - Exchange ,341.7,20.1,n/a,17.00,25.00,25.13,427.13,427.13
CANEA ApS,39a6bac8-2eb8-4d1a-ac31-a295a7c21a97,32353924,Office 365 Business Premium - Monthly - Microsoft ,62.9,62.9,n/a,1.00,25.00,78.63,78.63,78.63
NORDIC Shipping & Logistics,da072080-e4aa-4c80-845b-b4bd760ee5f6,31605725,Exchange Online (plan 1) - Monthly - Exchange ,60.3,20.1,n/a,3.00,25.00,25.13,75.38,75.38
