Customer,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
AVS Danmark,79293210,Microsoft 365 New Commerce Promotional Offer Annual - Office 365 E3 - cycleCharge  1/28/2023-2/27/2023  January   ,139.18,117.2,1,1.00,22.00,135.83,135.83,24.49
AVS Danmark,79293210,Microsoft 365 Business Standard - Microsoft 365 Business Standard - renew  1/28/2023-2/27/2023  January   ,94.44,75.55,1,1.00,25.00,94.44,94.44,18.89
AVS Danmark,79293210,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Business Standard - cycleCharge  1/28/2023-2/27/2023  January   ,1270.92,62.96,1,17.00,25.00,74.76,1270.96,254.19
AVS Danmark,79293210,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  1/28/2023-2/27/2023  January   ,263.56,10.08,1,22.00,25.00,11.98,263.45,52.69
AVS Danmark,79293210,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Business Basic - cycleCharge  1/28/2023-2/27/2023  January   ,29.93,25.2,1,1.00,22.00,29.21,29.21,5.27
AVS Danmark,79293210,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 1) - cycleCharge  1/28/2023-2/27/2023  January   ,95.76,20.16,1,4.00,22.00,23.36,93.45,16.85
AVS Danmark,79293210,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 1) - cycleCharge  1/28/2023-2/27/2023  January   ,95.76,20.16,1,4.00,22.00,23.36,93.45,16.85
AVS Danmark,79293210,Tables - Tables - LRS - new ,0,0.00036,7.0034,0.91,22.00,0.00,0.00,0.00
AVS Danmark,79293210,Tables - Tables - LRS - new ,0,0.045,7.0034,0.01,22.00,0.33,0.00,0.00
AVS Danmark,79293210,Backup - Backup-Azure VM -Det nordlige Europa - ,74.31,10,7.0034,1.00,22.00,72.63,72.63,13.18
AVS Danmark,79293210,VPN Gateway - VPN Gateway-VpnGw1  - new ,1051.81,0.19,7.0034,744.00,22.00,1.38,1026.63,185.18
AVS Danmark,79293210,Premium-filer - Premium-filer - LRS - Det vestlige ,142.86,0.192,7.0034,100.00,22.00,1.39,139.44,25.15
AVS Danmark,79293210,Backup - Backup-Server i det lokale miljø -Det ,74.31,10,7.0034,1.00,22.00,72.63,72.63,13.18
AVS Danmark,79293210,Blob Storage - Blob Storage - Varm LRS - Det ,0,0.0043,7.0034,0.02,22.00,0.03,0.00,0.00
AVS Danmark,79293210,Backup - Backup-Standard -Det nordlige Europa - ,18.81,0.0448,7.0034,56.71,22.00,0.33,18.45,3.40
AVS Danmark,79293210,Generel blok-blob - Generel blok-blob - LRS - new ,0,0.00036,7.0034,0.02,22.00,0.00,0.00,0.00
