Customer,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Forsyning Helsingør,32059325,Microsoft Teams Phone Standard - Annually - ,4388.17,21.19,n/a,207.00,25.00,26.50,5485.21,5485.21
Forsyning Helsingør,32059325,Microsoft Teams Phone Standard - Annually - ,4193.41,19.87,n/a,211.00,25.00,24.84,5241.76,5241.76
Forsyning Helsingør,32059325,Microsoft Teams Phone Standard - Annually - ,-8502.09,-41.07,n/a,207.00,25.00,-51.34,-10627.61,-10627.61
Forsyning Helsingør,32059325,Microsoft 365 Business Premium - Annually - ,11229.84,52.97,n/a,212.00,25.00,66.21,14037.30,14037.30
Forsyning Helsingør,32059325,Microsoft 365 Business Premium - Annually - ,10676.96,49.66,n/a,215.00,25.00,62.08,13346.20,13346.20
Forsyning Helsingør,32059325,Microsoft 365 Business Premium - Annually - ,-21757.82,-102.63,n/a,212.00,25.00,-128.29,-27197.28,-27197.28
Forsyning Helsingør,32059325,Project Plan 3 - Annually - Project Plan 3 - ,9060,1812,n/a,5.00,25.00,2265.00,11325.00,11325.00
Forsyning Helsingør,32059325,Visio Plan 2 - Annually - Visio Plan 2 - Prorate ,9060,906,n/a,10.00,25.00,1132.50,11325.00,11325.00
Forsyning Helsingør,32059325,Microsoft Teams Phone Standard - Virtual User - ,0,0,n/a,40.00,25.00,0.00,0.00,0.00
Forsyning Helsingør,32059325,Microsoft 365 Business Premium - Annually - ,285864,1329.6,n/a,215.00,25.00,1662.00,357330.00,357330.00
Forsyning Helsingør,32059325,Microsoft Teams Phone Standard - Annually - ,102039.6,483.6,n/a,211.00,25.00,604.50,127549.50,127549.50
Forsyning Helsingør,32059325,Microsoft 365 Audio Conferencing - Annually - ,39187.2,188.4,n/a,208.00,25.00,235.50,48984.00,48984.00
NextM2M A/S,32880053,Visio Plan 2 - Monthly - Visio Plan 2 - Cycle fee ,75.5,75.5,n/a,1.00,25.00,94.38,94.38,94.38
NextM2M A/S,32880053,Microsoft 365 Phone System - Virtual User - ,0,0,n/a,2.00,25.00,0.00,0.00,0.00
NextM2M A/S,32880053,Microsoft 365 Business Voice (uden ,302,60.4,n/a,5.00,25.00,75.50,377.50,377.50
NextM2M A/S,32880053,Microsoft 365 Business Premium - Monthly - ,775.6,110.8,n/a,7.00,25.00,138.50,969.50,969.50
NextM2M A/S,32880053,Microsoft 365 Business Basic - Monthly - Microsoft ,302,30.2,n/a,10.00,25.00,37.75,377.50,377.50
