Customer,CustomerId,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Visio Plan 2 - Visio Plan 2 - addQuantity 11/10/2023-11/27/2023  November   ,-365.1,100.61,1,5.00,25.0,-73.03,-365.13,-73.03
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 11/21/2023-11/29/2023  November   ,-153.04,224.88,1,2.00,25.0,-76.53,-153.05,-30.61
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Project Plan 5 - Project Plan 5 - renew 11/28/2023-12/27/2023  November   ,2305.2,368.83,1,5.00,25.00,461.04,2305.19,461.04
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Visio Plan 2 - Visio Plan 2 - addQuantity 11/10/2023-11/27/2023  November   ,511.21,100.61,1,7.00,25.0,73.03,511.18,102.24
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  11/10/2023-11/30/2023  November   ,860.72,122.96,1,8.00,25.00,107.59,860.70,172.14
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  11/1/2023-11/30/2023  November   ,922.2,122.96,1,6.00,25.0,153.70,922.20,184.44
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Visio Plan 2 - Visio Plan 2 - renew 11/28/2023-12/27/2023  November   ,880.32,100.61,1,7.00,25.00,125.76,880.34,176.07
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  11/10/2023-11/30/2023  November   ,-645.54,122.96,1,6.00,25.0,-107.59,-645.53,-129.11
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 11/30/2023-12/29/2023  November   ,790.8,224.88,1,3.00,25.00,263.60,790.80,158.16
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  11/30/2023-12/29/2023  November   ,12.6,10.08,1,1.00,25.00,12.60,12.60,2.52
Eco-Locaxion Management,a53bbbd7-d23a-4ac8-a47d-aeb5b1d097f3,43676911,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 11/21/2023-11/29/2023  November   ,229.59,224.88,1,3.00,25.00,76.53,229.58,45.92
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  11/8/2023-11/11/2023  November   ,-149.27,40.24,1,23.00,25.00,-6.49,-149.21,-29.84
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  11/8/2023-11/16/2023  November   ,-1166.09,122.96,1,29.00,7.0,-34.42,-998.24,-65.31
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  11/8/2023-11/16/2023  November   ,-1206.3,122.96,1,30.00,25.00,-40.21,-1206.38,-241.28
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  11/8/2023-11/11/2023  November   ,155.76,44.72,1,24.00,25.00,6.49,155.70,31.14
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Dynamics 365 Business Central Essentials - Dynamics 365 Business Central Essentials - cycleCharge  11/1/2023-11/30/2023  November   ,385.44,308.35,1,1.00,25.00,385.44,385.44,77.09
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft 365 Business Basic - Microsoft 365 Business Basic - cycleCharge  11/17/2023-12/16/2023  November   ,151.2,33.52,1,4.00,25.00,37.80,151.20,30.24
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Visio Plan 2 - Visio Plan 2 - cycleCharge 11/17/2023-12/16/2023  November   ,94.4,75.52,1,1.00,25.00,94.40,94.40,18.88
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Exchange Online (Plan 2) - Exchange Online (Plan 2) - cycleCharge  11/17/2023-12/16/2023  November   ,50.3,40.24,1,1.00,25.00,50.30,50.30,10.06
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  11/17/2023-12/16/2023  November   ,4293.5,122.96,1,31.00,25.00,138.50,4293.50,858.70
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - cycleCharge  11/12/2023-12/11/2023  November   ,1207.2,44.72,1,24.00,25.00,50.30,1207.20,241.44
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  11/8/2023-11/16/2023  November   ,1206.3,122.96,1,30.00,25.00,40.21,1206.38,241.28
Nord Tech Industrisystemer,4d2f8663-043f-4798-8507-84849bbedfda,18175509,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  11/8/2023-11/16/2023  November   ,1246.51,122.96,1,31.00,25.00,40.21,1246.59,249.32
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  11/24/2023-11/27/2023  November   ,-346,53.66,1,40.00,25.0,-8.65,-346.00,-69.20
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 11/9/2023-11/11/2023  November   ,-3644.8,224.88,1,134.00,25.0,-27.20,-3644.80,-728.96
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Load Balancer - Load Balancer - new ,134.93,0.025,7.05545,720.00,25.00,0.19,134.94,27.00
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Tables - Tables - LRS - new ,0,0.00036,7.05545,0.00,25.00,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Storage - Bandwidth - Storage - Bandwidth - ,0,0,7.05545,0.46,25.00,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Files - Files - GRS - new ,0,0.03,7.05545,0.05,25.00,0.22,0.01,0.01
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,IP Addresses - IP Addresses - Basic IPv4 - new ,38.8,0.0036,7.05545,1440.00,25.00,0.03,38.86,7.82
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Azure Test Plans - Azure Test Plans - Standard - ,377.2,52,7.05545,0.97,25.00,389.81,377.24,75.48
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Standard SSD Managed Disks - Standard SSD Managed ,71.96,9.6,7.05545,1.00,25.00,71.97,71.97,14.40
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Blob Storage - Blob Storage - Hot LRS - EU West - ,0.09,0.0043,7.05545,5.26,25.00,0.03,0.17,0.10
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Files v2 - Files v2 - Hot LRS - EU West - new ,0,0.00559,7.05545,0.72,25.00,0.04,0.03,0.03
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Blob Storage - Blob Storage - Hot LRS - EU West - ,2.99,0.0043,7.05545,93.42,25.00,0.03,3.01,0.62
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Logic Apps Integration Account - Logic Apps ,4352.68,300,7.05545,1.94,25.00,2248.92,4352.76,870.62
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Blob Storage - Blob Storage - Cool LRS - EU West - ,0,0.01,7.05545,0.07,25.00,0.07,0.01,0.01
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Rtn Preference: MGN - Rtn Preference: MGN - new ,0,0.087,7.05545,57.43,25.00,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,Standard Page Blob v2 - Standard Page Blob v2 - ,1.05,0.00054,7.05545,267.82,25.00,0.00,1.08,0.24
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,App Configuration - App Configuration - Free - US ,0,0,7.05545,30.00,25.00,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,de34bd08-db28-470e-87de-c5a5a40f06e8,64145711,General Block Blob - General Block Blob - LRS - ,0,0.00036,7.05545,0.00,25.00,0.00,0.00,0.00
