Customer,CustomerNo,Description,Quantity,Unit Price
BLS Capital Management,31179580,Power Automate unattended RPA add-on - Power Automate unattended RPA add-on - renew  2/1/2023-2/28/2023  February   ,1.00,1062.00
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 E3 - addQuantity  2/6/2023-2/27/2023  February   ,39.00,6160.54
BLS Capital Management,31179580,Microsoft 365 Audio Conferencing - Microsoft 365 Audio Conferencing - renew  2/28/2023-3/27/2023  February   ,32.00,628.00
BLS Capital Management,31179580,Microsoft 365 E3 - Microsoft 365 E3 - renew 2/28/2023-3/27/2023  February   ,39.00,10280.40
BLS Capital Management,31179580,Microsoft Teams Rooms Pro - Microsoft Teams Rooms Pro - renew  2/28/2023-3/27/2023  February   ,1.00,251.70
BLS Capital Management,31179580,Dynamics 365 Sales Enterprise - Dynamics 365 Sales Enterprise Edition - renew  2/28/2023-3/27/2023  February   ,1.00,560.54
BLS Capital Management,31179580,Power Automate per user plan - Power Automate per user plan - renew  2/28/2023-3/27/2023  February   ,1.00,106.20
BLS Capital Management,31179580,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  2/18/2023-3/17/2023  February   ,37.00,466.20
BLS Capital Management,31179580,Exchange Online (Plan 2) - Exchange Online (Plan 2) - renew  2/28/2023-3/27/2023  February   ,14.00,704.20
BLS Capital Management,31179580,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - renew  2/28/2023-3/27/2023  February   ,10.00,0.00
BLS Capital Management,31179580,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - renew  2/28/2023-3/27/2023  February   ,28.00,1408.40
BLS Capital Management,31179580,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  2/6/2023-2/17/2023  February   ,37.00,180.38
BLS Capital Management,31179580,Power Automate per user with attended RPA plan - Power Automate per user with attended RPA plan - renew  2/1/2023-2/28/2023  February   ,1.00,283.16
BLS Capital Management,31179580,Microsoft 365 E5 Compliance - Microsoft 365 E5 Compliance - renew  2/28/2023-3/27/2023  February   ,4.00,302.00
BLS Capital Management,31179580,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  2/6/2023-2/17/2023  February   ,36.00,-175.50
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 E3 - addQuantity  2/6/2023-2/27/2023  February   ,38.00,-6002.58
