Customer,CustomerNo,Description,Quantity,Unit Price
GoWingu ApS,99999001,Azure App Service Free Plan - Azure App Service ,10.00,0.00
GoWingu ApS,99999001,SQL Database - LTR Backup Storage - SQL Database - ,0.61,0.20
GoWingu ApS,99999001,General Block Blob - General Block Blob - LRS - ,815.85,119.04
GoWingu ApS,99999001,Azure App Service Premium v2 Plan - Azure App ,744.00,904.64
GoWingu ApS,99999001,Rtn Preference: MGN - Rtn Preference: MGN - new ,16.03,0.00
GoWingu ApS,99999001,Azure Database for MySQL Single Server - Backup ,34.54,23.10
GoWingu ApS,99999001,Tables - Tables - LRS - new ,0.00,0.00
GoWingu ApS,99999001,Azure App Service Free Plan - Azure App Service ,11.00,0.00
GoWingu ApS,99999001,SQL Database Single Standard - SQL Database Single ,62.00,182.40
GoWingu ApS,99999001,Log Analytics - Log Analytics - Pay-as-you-go - EU ,0.53,0.00
GoWingu ApS,99999001,General Block Blob - General Block Blob - LRS - ,0.03,0.00
GoWingu ApS,99999001,Azure Database for MySQL Single Server Basic - ,744.00,164.64
GoWingu ApS,99999001,Tables - Tables - LRS - new ,0.45,0.00
GoWingu ApS,99999001,Azure Database for MySQL Single Server Basic - ,10.00,6.69
GoWingu ApS,99999001,General Block Blob - General Block Blob - LRS - ,2.14,0.00
GoWingu ApS,99999001,General Block Blob - General Block Blob - LRS - ,0.01,0.00
