Customer,CustomerNo,Description,Quantity,Unit Price
GoWingu ApS,75555555,Rtn Preference: MGN - Rtn Preference: MGN - new ,0.00,0.00
GoWingu ApS,75555555,General Block Blob - General Block Blob - LRS - ,785.27,119.21
GoWingu ApS,75555555,Rtn Preference: MGN - Rtn Preference: MGN - new ,27.06,0.00
GoWingu ApS,75555555,Azure App Service Free Plan - Azure App Service ,4.91,0.00
GoWingu ApS,75555555,Files - Files - LRS - new ,0.00,0.00
GoWingu ApS,75555555,Azure App Service Premium v2 Plan - Azure App ,720.00,910.86
GoWingu ApS,75555555,Azure Database for MySQL Single Server - Backup ,33.43,23.26
GoWingu ApS,75555555,Log Analytics - Log Analytics - Pay-as-you-go - EU ,0.46,0.00
GoWingu ApS,75555555,Tables - Tables - LRS - new ,0.00,0.00
GoWingu ApS,75555555,Azure Database for MySQL Single Server Basic - ,720.00,165.78
GoWingu ApS,75555555,Azure Database for MySQL Single Server Basic - ,9.68,6.73
GoWingu ApS,75555555,Tables - Tables - LRS - new ,0.00,0.00
GoWingu ApS,75555555,General Block Blob - General Block Blob - LRS - ,0.23,0.00
GoWingu ApS,75555555,General Block Blob - General Block Blob - LRS - ,2.44,0.01
GoWingu ApS,75555555,SQL Database Single Standard - SQL Database Single ,60.00,183.65
GoWingu ApS,75555555,Azure App Service Free Plan - Azure App Service ,10.00,0.00
GoWingu ApS,75555555,SQL Database - LTR Backup Storage - SQL Database - ,0.58,0.20
GoWingu ApS,75555555,Tables - Tables - LRS - new ,0.44,0.00
GoWingu ApS,75555555,General Block Blob - General Block Blob - LRS - ,0.01,0.00
GoWingu ApS,75555555,Files - Files - LRS - new ,0.00,0.00
GoWingu ApS,75555555,Queues - Queues - LRS - new ,0.00,0.00
GoWingu ApS,75555555,General Block Blob - General Block Blob - LRS - ,0.00,0.00
