Customer,CustomerNo,Description,Quantity,Unit Price
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,3.12,1.59
BLS Capital Management,31179580,Files - Files - LRS - new ,5.00,2.83
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,5.43,1.00
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,8.93,0.05
BLS Capital Management,31179580,Premium SSD Managed Disks - Premium SSD Managed ,1.00,105.79
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,1.38,0.98
BLS Capital Management,31179580,Service Bus - Service Bus - Standard - new ,590.00,74.73
BLS Capital Management,31179580,Standard SSD Managed Disks - Standard SSD Managed ,1.00,90.46
BLS Capital Management,31179580,Network Watcher - Network Watcher - new ,0.40,0.00
BLS Capital Management,31179580,Rtn Preference: MGN - Rtn Preference: MGN - new ,2.03,0.00
BLS Capital Management,31179580,Azure Active Directory Domain Services - Azure ,743.79,1051.35
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,0.13,0.01
BLS Capital Management,31179580,Storage - Bandwidth - Storage - Bandwidth - ,0.06,0.00
BLS Capital Management,31179580,Backup - Backup - Standard - EU West - new ,411.34,173.65
BLS Capital Management,31179580,Log Analytics - Log Analytics - Pay-as-you-go - EU ,0.17,0.00
BLS Capital Management,31179580,Standard Page Blob - Standard Page Blob - LRS - ,4.46,0.02
BLS Capital Management,31179580,SQL Server Standard - SQL Server Standard - 1-4 ,743.95,2804.20
BLS Capital Management,31179580,Virtual Machines Dv2 Series Windows - Virtual ,1487.77,3729.25
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,27.22,13.85
BLS Capital Management,31179580,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.74,0.14
BLS Capital Management,31179580,Standard SSD Managed Disks - Standard SSD Managed ,990.64,18.67
BLS Capital Management,31179580,Service Bus - Service Bus - Standard - new ,0.00,0.00
BLS Capital Management,31179580,Backup - Backup - On Premises Server - EU West - ,1.00,94.23
BLS Capital Management,31179580,IP Addresses - IP Addresses - Basic IPv4 - new ,1488.00,50.48
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,79.79,3.23
BLS Capital Management,31179580,IP Addresses - IP Addresses - Basic IPv4 - new ,744.00,28.04
BLS Capital Management,31179580,Standard SSD Managed Disks - Standard SSD Managed ,1.00,723.67
BLS Capital Management,31179580,Virtual Machines BS Series - Virtual Machines BS ,744.00,336.53
BLS Capital Management,31179580,Standard HDD Managed Disks - Standard HDD Managed ,161.44,0.76
BLS Capital Management,31179580,Tables - Tables - RA-GRS - new ,0.01,0.01
BLS Capital Management,31179580,Premium SSD Managed Disks - Premium SSD Managed ,2.00,408.57
BLS Capital Management,31179580,Standard Page Blob - Standard Page Blob - LRS - ,8.93,0.03
BLS Capital Management,31179580,Virtual Machines Av2 Series Windows - Virtual ,743.95,1920.88
BLS Capital Management,31179580,IP Addresses - IP Addresses - Standard IPv4 - new ,1488.00,70.11
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,4.46,0.02
BLS Capital Management,31179580,Tables - Tables - GRS - new ,0.90,0.00
BLS Capital Management,31179580,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.07,0.00
BLS Capital Management,31179580,Tables - Tables - LRS - new ,0.02,0.01
BLS Capital Management,31179580,General Block Blob - General Block Blob - LRS - ,79.79,0.27
BLS Capital Management,31179580,Storage - Bandwidth - Storage - Bandwidth - ,25.59,4.82
BLS Capital Management,31179580,Standard HDD Managed Disks - Standard HDD Managed ,1.00,14.47
BLS Capital Management,31179580,Tables - Tables - LRS - new ,1.36,0.00
