Customer,CustomerNo,Description,Quantity,Unit Price
BLS Capital Management,31179580,Tables - Tables - LRS - new ,0.01,0.00
BLS Capital Management,31179580,Storage - Bandwidth - Storage - Bandwidth - ,0.06,0.00
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,8.06,0.04
BLS Capital Management,31179580,Tables - Tables - RA-GRS - new ,0.01,0.01
BLS Capital Management,31179580,Network Watcher - Network Watcher - new ,0.25,0.00
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,4.03,0.02
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,15.32,7.48
BLS Capital Management,31179580,IP Addresses - IP Addresses - Standard IPv4 - new ,1344.00,60.75
BLS Capital Management,31179580,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.45,0.08
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,71.98,2.80
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,1.38,0.94
BLS Capital Management,31179580,Backup - Backup - On Premises Server - EU West - ,0.90,81.66
BLS Capital Management,31179580,IP Addresses - IP Addresses - Basic IPv4 - new ,1344.00,43.74
BLS Capital Management,31179580,Rtn Preference: MGN - Rtn Preference: MGN - new ,0.35,0.00
BLS Capital Management,31179580,Backup - Backup - Standard - EU West - new ,388.43,157.32
BLS Capital Management,31179580,Premium SSD Managed Disks - Premium SSD Managed ,1.00,101.49
BLS Capital Management,31179580,Tables - Tables - GRS - new ,0.81,0.00
BLS Capital Management,31179580,Service Bus - Service Bus - Standard - new ,151.00,18.35
BLS Capital Management,31179580,Standard HDD Managed Disks - Standard HDD Managed ,1.00,13.89
BLS Capital Management,31179580,Storage - Bandwidth - Storage - Bandwidth - ,23.11,4.18
BLS Capital Management,31179580,Files - Files - LRS - new ,5.00,2.71
BLS Capital Management,31179580,Service Bus - Service Bus - Standard - new ,0.00,0.00
BLS Capital Management,31179580,Log Analytics - Log Analytics - Pay-as-you-go - EU ,0.15,0.00
BLS Capital Management,31179580,Virtual Machines Dv2 Series Windows - Virtual ,1343.90,3231.77
BLS Capital Management,31179580,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.03,0.00
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,6.67,1.18
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,2.91,1.42
BLS Capital Management,31179580,Standard HDD Managed Disks - Standard HDD Managed ,145.39,0.66
BLS Capital Management,31179580,Virtual Machines BS Series - Virtual Machines BS ,671.97,291.60
BLS Capital Management,31179580,Tables - Tables - LRS - new ,0.83,0.00
BLS Capital Management,31179580,Azure Active Directory Domain Services - Azure ,671.81,911.03
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,0.06,0.00
BLS Capital Management,31179580,Key Vault - Key Vault - Premium - new ,0.01,0.00
BLS Capital Management,31179580,Premium SSD Managed Disks - Premium SSD Managed ,2.00,391.97
