Customer,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
RackPeople ApS,32476007,General Block Blob - General Block Blob - LRS - ,0,0.00036,7.4514,2.78,0.00,0.00,0.01,0.01
RackPeople ApS,32476007,Log Analytics - Log Analytics - Pay-as-you-go - EU ,56.35,2.76,7.4514,2.58,0.00,17.48,45.14,0.06
RackPeople ApS,32476007,Rtn Preference: MGN - Rtn Preference: MGN - new ,0,0.087,7.4514,0.16,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,Tables - Tables - LRS - new ,4.28,0.045,7.4514,12.04,0.00,0.29,3.43,0.01
RackPeople ApS,32476007,Service Bus - Service Bus - Hybrid Connections - ,152.56,0.0134,7.4514,1438.61,0.00,0.08,122.10,0.05
RackPeople ApS,32476007,Azure App Service Premium v2 Plan - Azure App ,1140.06,0.2,7.4514,720.00,0.00,1.27,912.05,0.00
RackPeople ApS,32476007,Files - Files - LRS - new ,3.44,0.015,7.4514,29.20,0.00,0.10,2.77,0.02
RackPeople ApS,32476007,General Block Blob - General Block Blob - LRS - ,0,0.00036,7.4514,0.28,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,Tables - Tables - LRS - new ,0,0.00036,7.4514,25.73,0.00,0.00,0.06,0.06
RackPeople ApS,32476007,SQL Database Single Basic - SQL Database Single ,76.28,0.161,7.4514,59.92,0.00,1.02,61.10,0.08
RackPeople ApS,32476007,Service Bus - Service Bus - Hybrid Connections - ,0,1,7.4514,0.19,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,General Block Blob - General Block Blob - LRS - ,0,0.024,7.4514,0.11,0.00,0.15,0.02,0.02
RackPeople ApS,32476007,Azure App Service Standard Plan - Azure App ,570.03,0.1,7.4514,720.00,0.00,0.63,456.03,0.01
RackPeople ApS,32476007,Functions - Functions - new ,29.61,0.000016,7.4514,234070.20,0.00,0.00,23.72,0.03
RackPeople ApS,32476007,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0,0.05,7.4514,0.09,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,Tables - Tables - LRS - new ,0,0.00036,7.4514,7.59,0.00,0.00,0.02,0.02
RackPeople ApS,32476007,Functions - Functions - new ,0,0.000016,7.4514,400000.00,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,Files - Files - LRS - new ,0.46,0.0015,7.4514,44.93,0.00,0.01,0.43,0.06
RackPeople ApS,32476007,Azure App Service Free Plan - Azure App Service ,0,0,7.4514,7.01,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,Functions - Functions - new ,0,0.000002,7.4514,37705.00,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,Service Bus - Service Bus - Standard - new ,0,0.8,7.4514,0.00,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,Files - Files - LRS - new ,0.36,0.0015,7.4514,38.16,0.00,0.01,0.36,0.07
RackPeople ApS,32476007,Tables - Tables - LRS - new ,0,0.00036,7.4514,0.67,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,Files - Files - LRS - new ,0,0.06,7.4514,0.09,0.00,0.38,0.04,0.04
RackPeople ApS,32476007,Log Analytics - Log Analytics - Pay-as-you-go - EU ,0,2.76,7.4514,5.00,0.00,0.00,0.00,0.00
RackPeople ApS,32476007,SQL Database Single Standard - SQL Database Single ,114.75,0.4839,7.4514,29.96,0.00,3.06,91.82,0.02
RackPeople ApS,32476007,General Block Blob - General Block Blob - LRS - ,0.28,0.00036,7.4514,125.04,0.00,0.00,0.29,0.07
RackPeople ApS,32476007,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  9/7/2022-9/30/2022  September   ,-442.64,40.24,1,11.00,0.0,-32.19,-354.09,0.00
RackPeople ApS,32476007,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - cycleCharge  9/1/2022-9/30/2022  September   ,553.3,40.24,1,11.00,0.0,40.24,442.64,0.00
RackPeople ApS,32476007,Windows 365 Enterprise - Windows 365 Enterprise 2 vCPU; 4 GB; 128 GB - renew  9/19/2022-10/18/2022  September   ,223.88,179.1,1,1.00,25.00,223.88,223.88,44.78
RackPeople ApS,32476007,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  9/7/2022-9/30/2022  September   ,482.88,40.24,1,12.00,25.00,40.24,482.85,96.57
RackPeople ApS,32476007,Power BI Premium Per User - Power BI Premium Per User - cycleCharge  9/24/2022-10/23/2022  September   ,125.9,100.72,1,1.00,25.00,125.90,125.90,25.18
BLS Capital Management,31179580,Standard SSD Managed Disks - Standard SSD Managed ,76,9.6,7.4514,1.00,55.00,94.25,94.25,33.45
BLS Capital Management,31179580,Virtual Machines Av2 Series Windows - Virtual ,1561.44,0.274,7.4514,719.80,55.00,2.69,1936.20,687.05
BLS Capital Management,31179580,Storage - Bandwidth - Storage - Bandwidth - ,3.9,0.02,7.4514,24.76,55.00,0.20,4.86,1.74
BLS Capital Management,31179580,Standard Page Blob - Standard Page Blob - LRS - ,0,0.00036,7.4514,4.32,55.00,0.00,0.02,0.02
BLS Capital Management,31179580,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.09,0.02,7.4514,0.64,55.00,0.20,0.13,0.06
BLS Capital Management,31179580,General Block Blob - General Block Blob - LRS - ,0.18,0.00036,7.4514,77.27,55.00,0.00,0.27,0.13
BLS Capital Management,31179580,IP Addresses - IP Addresses - Standard IPv4 - new ,57,0.005,7.4514,1440.00,55.00,0.05,70.68,25.08
BLS Capital Management,31179580,Standard HDD Managed Disks - Standard HDD Managed ,12.1,1.536,7.4514,1.00,55.00,15.08,15.08,5.40
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,0.65,0.0196,7.4514,4.26,55.00,0.19,0.82,0.30
BLS Capital Management,31179580,Service Bus - Service Bus - Standard - new ,0,0.8,7.4514,0.00,55.00,0.00,0.00,0.00
BLS Capital Management,31179580,Rtn Preference: MGN - Rtn Preference: MGN - new ,0,0.087,7.4514,31.23,55.00,0.00,0.00,0.00
BLS Capital Management,31179580,Virtual Machines BS Series - Virtual Machines BS ,273.55,0.048,7.4514,719.98,55.00,0.47,339.28,120.44
BLS Capital Management,31179580,Tables - Tables - LRS - new ,0,0.045,7.4514,0.02,55.00,0.44,0.01,0.01
BLS Capital Management,31179580,Virtual Machines Dv2 Series Windows - Virtual ,3032.06,0.266,7.4514,1439.80,55.00,2.61,3759.87,1334.22
BLS Capital Management,31179580,IP Addresses - IP Addresses - Basic IPv4 - new ,22.73,0.004,7.4514,720.00,55.00,0.04,28.27,10.09
BLS Capital Management,31179580,Backup - Backup - Standard - EU West - new ,135.7,0.0448,7.4514,382.68,55.00,0.44,168.31,59.75
BLS Capital Management,31179580,Storage - Bandwidth - Storage - Bandwidth - ,0,0,7.4514,0.06,55.00,0.00,0.00,0.00
BLS Capital Management,31179580,Files - Files - LRS - new ,2.33,0.06,7.4514,5.00,55.00,0.59,2.94,1.08
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,0,0.0043,7.4514,0.10,55.00,0.04,0.00,0.00
BLS Capital Management,31179580,Network Watcher - Network Watcher - new ,0,0.5,7.4514,0.41,55.00,0.00,0.00,0.00
BLS Capital Management,31179580,Blob Storage - Blob Storage - Hot LRS - EU West - ,11.18,0.054,7.4514,26.32,55.00,0.53,13.95,5.01
BLS Capital Management,31179580,Tables - Tables - LRS - new ,0,0.00036,7.4514,1.32,55.00,0.00,0.00,0.00
BLS Capital Management,31179580,General Block Blob - General Block Blob - LRS - ,0,0.00036,7.4514,0.00,55.00,0.00,0.00,0.00
BLS Capital Management,31179580,General Block Blob - General Block Blob - LRS - ,0,0.00036,7.4514,0.00,55.00,0.00,0.00,0.00
BLS Capital Management,31179580,Premium SSD Managed Disks - Premium SSD Managed ,88.85,11.2272,7.4514,1.00,55.00,110.22,110.23,39.15
BLS Capital Management,31179580,Tables - Tables - GRS - new ,0,0.00036,7.4514,0.87,55.00,0.00,0.00,0.00
BLS Capital Management,31179580,Backup - Backup - On Premises Server - EU West - ,76.56,10,7.4514,0.97,55.00,98.17,95.01,33.76
BLS Capital Management,31179580,Premium SSD Managed Disks - Premium SSD Managed ,343.23,21.68,7.4514,2.00,55.00,212.84,425.71,151.13
BLS Capital Management,31179580,Standard SSD Managed Disks - Standard SSD Managed ,608.03,76.8,7.4514,1.00,55.00,753.96,754.02,267.60
BLS Capital Management,31179580,IP Addresses - IP Addresses - Basic IPv4 - new ,40.98,0.0036,7.4514,1440.00,55.00,0.04,50.89,18.11
BLS Capital Management,31179580,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0,0.05,7.4514,0.14,55.00,0.00,0.00,0.00
BLS Capital Management,31179580,Standard Page Blob v2 - Standard Page Blob v2 - ,0,0.00054,7.4514,4.32,55.00,0.01,0.02,0.02
