Customer,CustomerNo,Description,Quantity,Unit Price
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/7/2022-12/11/2022  December   ,101.00,-4437.69
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - addQuantity  12/7/2022-12/9/2022  December   ,11.00,-27.78
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  12/19/2022-12/27/2022  December   ,51.00,-923.74
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/19/2022-1/11/2023  December   ,103.00,-21019.73
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 12/12/2022-1/11/2023  December   ,102.00,26887.20
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Cloud Apps - Microsoft Defender for Cloud Apps - renew  12/4/2022-1/3/2023  December   ,1.00,26.40
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  12/19/2022-12/27/2022  December   ,52.00,941.85
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/19/2022-1/11/2023  December   ,104.00,21223.80
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/14/2022-1/11/2023  December   ,103.00,25398.51
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Rooms Standard - Microsoft Teams Rooms Standard - cycleCharge  12/1/2022-12/31/2022  December   ,1.00,118.00
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - cycleCharge  12/10/2022-1/9/2023  December   ,12.00,302.40
Norli Liv og Pension Livsforsikring A/S,64145711,Power BI Premium Per User - Power BI Premium Per User - cycleCharge  12/12/2022-1/11/2023  December   ,1.00,125.90
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  12/23/2022-12/27/2022  December   ,53.00,533.31
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 F3 - Microsoft 365 F3 - cycleCharge 12/1/2022-12/31/2022  December   ,5.00,251.50
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - renew  12/28/2022-1/27/2023  December   ,53.00,3199.21
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/14/2022-1/11/2023  December   ,102.00,-25151.93
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/7/2022-12/11/2022  December   ,102.00,4481.63
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - cycleCharge  12/28/2022-1/27/2023  December   ,50.00,0.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  12/1/2022-12/31/2022  December   ,98.00,1234.80
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - addQuantity  12/7/2022-12/9/2022  December   ,12.00,30.30
Norli Liv og Pension Livsforsikring A/S,64145711,Windows 365 Enterprise - Windows 365 Enterprise 4 vCPU; 16 GB; 512 GB - cycleCharge  12/12/2022-1/11/2023  December   ,2.00,1312.93
Norli Liv og Pension Livsforsikring A/S,64145711,Power BI Pro - Power BI Pro - new 12/30/2022-12/31/2022  December   ,1.00,4.06
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  12/23/2022-12/27/2022  December   ,52.00,-523.25
