Customer,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Forsyning Helsingør,32059325,Microsoft Teams Phone Standard - Annually - ,-32974.9,-161.64,n/a,204.00,25.00,-202.05,-41218.63,-41218.63
Forsyning Helsingør,32059325,Microsoft Teams Phone Standard - Annually - ,24988.21,121.89,n/a,205.00,25.00,152.37,31235.26,31235.26
Forsyning Helsingør,32059325,Microsoft Teams Phone Standard - Annually - ,3530.94,17.22,n/a,205.00,25.00,21.53,4413.68,4413.68
Forsyning Helsingør,32059325,Microsoft Teams Phone Standard - Annually - ,4594.86,22.52,n/a,204.00,25.00,28.15,5743.58,5743.58
Forsyning Helsingør,32059325,Microsoft 365 Business Premium - Annually - ,-84011.94,-403.9,n/a,208.00,25.00,-504.88,-105014.93,-105014.93
Forsyning Helsingør,32059325,Microsoft 365 Business Premium - Annually - ,63962.43,304.58,n/a,210.00,25.00,380.73,79953.04,79953.04
Forsyning Helsingør,32059325,Microsoft 365 Business Premium - Annually - ,9038.17,43.03,n/a,210.00,25.00,53.80,11297.71,11297.71
Forsyning Helsingør,32059325,Microsoft 365 Business Premium - Annually - ,11706.58,56.28,n/a,208.00,25.00,70.35,14633.23,14633.23
NextM2M A/S,32880053,Microsoft 365 Business Basic - Monthly - Microsoft ,302,30.2,n/a,10.00,25.00,37.75,377.50,377.50
NextM2M A/S,32880053,Microsoft 365 Business Voice (uden ,60.4,60.4,n/a,1.00,25.00,75.50,75.50,75.50
NextM2M A/S,32880053,Visio Plan 2 - Monthly - Visio Plan 2 - Cycle fee ,75.5,75.5,n/a,1.00,25.00,94.38,94.38,94.38
NextM2M A/S,32880053,Microsoft 365 Business Premium - Monthly - ,775.6,110.8,n/a,7.00,25.00,138.50,969.50,969.50
NextM2M A/S,32880053,Microsoft 365 Phone System - Virtual User - ,0,0,n/a,2.00,25.00,0.00,0.00,0.00
NextM2M A/S,32880053,Microsoft 365 Business Voice (uden ,302,60.4,n/a,5.00,25.00,75.50,377.50,377.50
Hi3G Denmark ApS,26123445,Dynamics 365 Sales Professional - Monthly - ,306.8,306.8,n/a,1.00,15.00,352.82,352.82,352.82
Hi3G Denmark ApS,26123445,Microsoft 365 Business Voice (without calling ,241.6,60.4,n/a,4.00,15.00,69.46,277.84,277.84
Hi3G Denmark ApS,26123445,Microsoft 365 Phone System - Virtual User - ,0,0,n/a,25.00,15.00,0.00,0.00,0.00
Hi3G Denmark ApS,26123445,Microsoft 365 Business Basic - Monthly - Microsoft ,151.2,25.2,n/a,6.00,15.00,28.98,173.88,173.88
MARTINE LIE Interior Concepts ApS,36973382,Exchange Online (plan 1) - Monthly - Exchange ,20.1,20.1,n/a,1.00,25.00,25.13,25.13,25.13
MARTINE LIE Interior Concepts ApS,36973382,Microsoft 365 Business Premium - Monthly - ,554,110.8,n/a,5.00,25.00,138.50,692.50,692.50
Wohlert Arkitekter,26928877,Office 365 Business Premium - Monthly - Microsoft ,125.8,62.9,n/a,2.00,25.00,78.63,157.25,157.25
Wohlert Arkitekter,26928877,Exchange Online (plan 1) - Monthly - Exchange ,40.2,20.1,n/a,2.00,25.00,25.13,50.25,50.25
