Customer,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 11/30/2022-12/11/2022  November   ,-10438.56,210.88,1,99.00,25.0,-105.44,-10438.31,-2087.66
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - addQuantity  11/30/2022-12/9/2022  November   ,-84,20.16,1,10.00,25.0,-8.40,-84.00,-16.80
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 F3 - Microsoft 365 F3 - addQuantity 11/3/2022-11/30/2022  November   ,-187.8,40.24,1,4.00,25.00,-46.95,-187.80,-37.56
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 11/4/2022-11/11/2022  November   ,6666.94,210.88,1,98.00,25.0,68.03,6666.45,1333.29
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Rooms Standard - Microsoft Teams Rooms Standard - cycleCharge  11/1/2022-11/30/2022  November   ,118,94.4,1,1.00,25.00,118.00,118.00,23.60
Norli Liv og Pension Livsforsikring A/S,64145711,Power BI Premium Per User - Power BI Premium Per User - cycleCharge  11/12/2022-12/11/2022  November   ,125.9,100.72,1,1.00,25.00,125.90,125.90,25.18
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 11/30/2022-12/11/2022  November   ,10649.44,210.88,1,101.00,25.0,105.44,10649.19,2129.84
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - addQuantity  11/17/2022-12/9/2022  November   ,193.3,20.16,1,10.00,25.0,19.33,193.25,38.65
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  11/1/2022-11/27/2022  November   ,2629,48.29,1,50.00,25.0,52.58,2628.75,525.75
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  11/1/2022-11/30/2022  November   ,1209.6,10.08,1,96.00,25.00,12.60,1209.60,241.92
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  11/9/2022-11/27/2022  November   ,-1850,48.29,1,50.00,25.0,-37.00,-1850.00,-370.00
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - addQuantity  11/30/2022-12/9/2022  November   ,92.4,20.16,1,11.00,25.0,8.40,92.40,18.48
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - removeQuantity  11/30/2022-12/11/2022  November   ,-10543,210.88,1,100.00,25.0,-105.44,-10543.75,-2108.75
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - removeQuantity  11/30/2022-12/11/2022  November   ,10438.56,210.88,1,99.00,25.0,105.44,10438.31,2087.66
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 11/9/2022-11/11/2022  November   ,-2500.96,210.88,1,98.00,25.0,-25.51,-2500.23,-500.05
