Customer,CustomerNo,Description,Quantity,Unit Price
CTGlobal,25188462,Standard HDD Managed Disks - Standard HDD Managed ,1.00,38.30
CTGlobal,25188462,Files - Files - LRS - new ,0.00,0.00
CTGlobal,25188462,Azure App Service Free Plan - Azure App Service ,10.00,0.00
CTGlobal,25188462,General Block Blob - General Block Blob - LRS - ,0.00,0.00
CTGlobal,25188462,Blob Storage - Blob Storage - Hot LRS - EU West - ,0.00,0.00
CTGlobal,25188462,SQL Database Single Standard - SQL Database Single ,62.00,976.03
CTGlobal,25188462,General Block Blob - General Block Blob - LRS - ,0.00,0.00
CTGlobal,25188462,Microsoft Defender for SQL - Microsoft Defender ,1.00,97.58
CTGlobal,25188462,Bandwidth Inter-Region - Bandwidth Inter-Region - ,0.00,0.00
CTGlobal,25188462,Logic Apps - Logic Apps - Consumption - new ,44225.00,35.96
CTGlobal,25188462,Azure App Service Free Plan - Azure App Service ,22.00,0.00
CTGlobal,25188462,Files - Files - LRS - new ,5.00,1.95
CTGlobal,25188462,Blob Storage - Blob Storage - Hot LRS - EU West - ,0.00,0.00
CTGlobal,25188462,Rtn Preference: MGN - Rtn Preference: MGN - new ,0.00,0.00
CTGlobal,25188462,Azure App Service Shared Plan - Azure App Service ,744.00,62.92
CTGlobal,25188462,Key Vault - Key Vault - Premium - new ,0.02,0.00
CTGlobal,25188462,Tables - Tables - LRS - new ,207.22,60.66
CTGlobal,25188462,General Block Blob - General Block Blob - LRS - ,22.42,0.05
CTGlobal,25188462,Traffic Manager - Traffic Manager - Azure Endpoint ,0.07,0.25
CTGlobal,25188462,SignalR - SignalR - new ,93.00,974.02
CTGlobal,25188462,SQL Database Single Standard - SQL Database Single ,31.00,975.77
CTGlobal,25188462,Log Analytics - Log Analytics - Pay-as-you-go - EU ,29.83,580.19
CTGlobal,25188462,Azure Monitor - Azure Monitor - Emails - new ,16.00,0.00
CTGlobal,25188462,Log Analytics - Log Analytics - Pay-as-you-go - EU ,5.00,0.00
CTGlobal,25188462,Standard HDD Managed Disks - Standard HDD Managed ,1.00,9.99
CTGlobal,25188462,Process Automation - Process Automation - Basic - ,85.98,0.00
CTGlobal,25188462,Azure Pipelines - Azure Pipelines - ,3.00,780.62
CTGlobal,25188462,Blob Storage - Blob Storage - Hot LRS - EU West - ,0.14,0.00
CTGlobal,25188462,General Block Blob - General Block Blob - LRS - ,0.04,0.01
CTGlobal,25188462,Azure App Service Premium v2 Plan - Azure App ,1488.00,7743.73
CTGlobal,25188462,Azure Monitor - Azure Monitor - Alerts - new ,10.00,0.00
CTGlobal,25188462,Traffic Manager - Traffic Manager - Azure Endpoint ,2.00,4.68
CTGlobal,25188462,Blob Storage - Blob Storage - Hot LRS - EU West - ,0.07,0.00
CTGlobal,25188462,Traffic Manager - Traffic Manager - Traffic View - ,0.07,0.85
CTGlobal,25188462,Tables - Tables - LRS - new ,2.72,0.01
CTGlobal,25188462,SQL Database - LTR Backup Storage - SQL Database - ,58.61,22.69
CTGlobal,25188462,Standard HDD Managed Disks - Standard HDD Managed ,1.00,266.43
CTGlobal,25188462,SQL Database Single Standard - SQL Database Single ,93.00,292.75
CTGlobal,25188462,Tables - Tables - GRS - new ,0.90,0.00
CTGlobal,25188462,Tables - Tables - RA-GRS - new ,0.01,0.00
CTGlobal,25188462,SignalR - SignalR - new ,62.00,0.00
CTGlobal,25188462,Logic Apps - Logic Apps - Consumption - new ,8.00,0.00
CTGlobal,25188462,Azure Repos and Boards (Basic) - Azure Repos and ,1.00,39.03
CTGlobal,25188462,Blob Storage - Blob Storage - Hot LRS - EU West - ,25.37,3.24
CTGlobal,25188462,Azure Monitor - Azure Monitor - Alerts - new ,7.99,5.20
CTGlobal,25188462,Azure App Service Standard Plan - Azure App ,2232.00,1451.95
CTGlobal,25188462,Rtn Preference: MGN - Rtn Preference: MGN - new ,100.00,0.00
CTGlobal,25188462,Queues - Queues - LRS - new ,0.00,0.00
CTGlobal,25188462,Storage - Bandwidth - Storage - Bandwidth - ,0.05,0.00
CTGlobal,25188462,General Block Blob - General Block Blob - LRS - ,0.00,0.00
CTGlobal,25188462,Log Analytics - Log Analytics - Pay-as-you-go - EU ,0.52,0.00
CTGlobal,25188462,Rtn Preference: MGN - Rtn Preference: MGN - new ,232.30,131.47
CTGlobal,25188462,Logic Apps - Logic Apps - Consumption - new ,0.31,0.24
