Customer,CustomerNo,Description,Quantity,Unit Price
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  9/14/2022-9/27/2022  September   ,48.00,-1308.60
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - addQuantity  9/15/2022-10/9/2022  September   ,8.00,168.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  9/1/2022-9/30/2022  September   ,91.00,1146.60
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - cycleCharge  9/28/2022-10/27/2022  September   ,50.00,0.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 9/12/2022-10/11/2022  September   ,92.00,24251.20
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  9/22/2022-9/30/2022  September   ,93.00,351.08
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  9/14/2022-9/27/2022  September   ,49.00,1335.86
Norli Liv og Pension Livsforsikring A/S,64145711,Windows 365 Enterprise - Windows 365 Enterprise 4 vCPU; 16 GB; 512 GB - cycleCharge  9/12/2022-10/11/2022  September   ,2.00,1312.93
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Rooms Standard - Microsoft Teams Rooms Standard - cycleCharge  9/1/2022-9/30/2022  September   ,1.00,118.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  9/28/2022-9/30/2022  September   ,94.00,118.68
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - renew  9/28/2022-10/27/2022  September   ,49.00,2957.76
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 F3 - Microsoft 365 F3 - cycleCharge 9/1/2022-9/30/2022  September   ,4.00,201.20
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 9/22/2022-10/11/2022  September   ,92.00,-16167.85
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 9/28/2022-10/11/2022  September   ,93.00,-11440.16
Norli Liv og Pension Livsforsikring A/S,64145711,Power BI Premium Per User - Power BI Premium Per User - cycleCharge  9/12/2022-10/11/2022  September   ,1.00,125.90
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 9/28/2022-10/11/2022  September   ,94.00,11563.18
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - addQuantity  9/15/2022-10/9/2022  September   ,6.00,-126.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  9/28/2022-9/30/2022  September   ,93.00,-117.41
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - cycleCharge  9/10/2022-10/9/2022  September   ,6.00,151.20
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  9/22/2022-9/30/2022  September   ,91.00,-343.53
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 9/22/2022-10/11/2022  September   ,93.00,16343.59
