Customer,CustomerNo,Description,Quantity,Unit Price
BLS Capital Management,31179580,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  3/16/2023-3/27/2023  March   ,28.00,-603.75
BLS Capital Management,31179580,Microsoft Teams Rooms Pro - Microsoft Teams Rooms Pro - cycleCharge  3/28/2023-4/27/2023  March   ,1.00,251.70
BLS Capital Management,31179580,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 3/28/2023-4/27/2023  March   ,39.00,10280.40
BLS Capital Management,31179580,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - cycleCharge  3/28/2023-4/27/2023  March   ,29.00,1458.70
BLS Capital Management,31179580,Exchange Online (Plan 2) - Exchange Online (Plan 2) - cycleCharge  3/28/2023-4/27/2023  March   ,14.00,704.20
BLS Capital Management,31179580,Microsoft 365 Audio Conferencing - Microsoft 365 Audio Conferencing - cycleCharge  3/28/2023-4/27/2023  March   ,32.00,628.00
BLS Capital Management,31179580,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  3/16/2023-3/27/2023  March   ,29.00,625.31
BLS Capital Management,31179580,Power Automate per user with attended RPA plan - Power Automate per user with attended RPA plan - renew  3/1/2023-3/31/2023  March   ,1.00,283.16
BLS Capital Management,31179580,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - cycleCharge  3/28/2023-4/27/2023  March   ,10.00,0.00
BLS Capital Management,31179580,Power Automate unattended RPA add-on - Power Automate unattended RPA add-on - renew  3/1/2023-3/31/2023  March   ,1.00,1062.00
BLS Capital Management,31179580,Power Automate per user plan - Power Automate per user plan - renew  3/28/2023-4/27/2023  March   ,1.00,106.20
BLS Capital Management,31179580,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  3/18/2023-4/17/2023  March   ,37.00,466.20
BLS Capital Management,31179580,Microsoft 365 E5 Compliance - Microsoft 365 E5 Compliance - cycleCharge  3/28/2023-4/27/2023  March   ,4.00,302.00
BLS Capital Management,31179580,Dynamics 365 Sales Enterprise - Dynamics 365 Sales Enterprise Edition - cycleCharge  3/28/2023-4/27/2023  March   ,1.00,560.54
