Customer,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Phone System - addQuantity  10/6/2022-10/27/2022  October   ,-1156.65,40.24,1,33.00,9.00,-30.56,-1008.60,-83.28
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Visio Plan 2 - addQuantity  10/3/2022-10/27/2022  October   ,-1120.95,75.52,1,15.00,9.00,-65.16,-977.40,-80.70
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Common Area Phone - cycleCharge  10/28/2022-11/27/2022  October   ,669.06,40.24,1,14.00,9.00,41.67,583.39,48.17
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 1) - cycleCharge  10/28/2022-11/27/2022  October   ,119.7,20.16,1,5.00,9.00,20.87,104.37,8.62
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  10/28/2022-11/27/2022  October   ,1605.32,10.08,1,134.00,9.00,10.44,1399.25,115.53
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Power BI Pro - cycleCharge  10/28/2022-11/27/2022  October   ,358.5,50.32,1,6.00,9.00,52.10,312.61,25.81
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Business Premium - cycleCharge  10/28/2022-11/27/2022  October   ,9926.8,110.8,1,83.00,9.00,104.29,8656.17,714.73
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Phone System - Virtual User - cycleCharge  10/28/2022-11/27/2022  October   ,0,0,1,5.00,9.00,0.00,0.00,0.00
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 E5 - cycleCharge  10/28/2022-11/27/2022  October   ,681.52,286.96,1,2.00,9.00,297.14,594.29,49.07
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 2) - cycleCharge  10/28/2022-11/27/2022  October   ,143.37,40.24,1,3.00,9.00,41.67,125.01,10.32
Nordic Bioscience,30799968,Power; Flow; AAD; AI; Intune; MCAS; Defender IN New Commerce Promotional Offer Annual - Enterprise Mobility + Security E5 - cycleCharge  10/28/2022-11/27/2022  October   ,196.66,82.8,1,2.00,9.00,85.74,171.48,14.16
Nordic Bioscience,30799968,Microsoft 365 Audio Conferencing Adoption Promo - Microsoft 365 Business Voice Adoption Promo - Microsoft 365 Audio Conferencing - cycleCharge  10/28/2022-11/27/2022  October   ,0,15.7,1,30.00,9.00,0.00,0.00,0.00
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft Teams Rooms Standard - cycleCharge  10/28/2022-11/27/2022  October   ,672.6,94.4,1,6.00,9.00,97.75,586.51,48.43
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Visio Plan 2 - cycleCharge  10/28/2022-11/27/2022  October   ,1434.88,75.52,1,16.00,25.00,89.68,1434.80,286.96
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Phone System - cycleCharge  10/28/2022-11/27/2022  October   ,1624.86,40.24,1,34.00,25.00,47.79,1624.78,324.96
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Phone System - addQuantity  10/6/2022-10/27/2022  October   ,1191.7,40.24,1,34.00,25.00,35.05,1191.70,238.34
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Business Standard - cycleCharge  10/28/2022-11/27/2022  October   ,10391.64,62.96,1,139.00,9.00,65.19,9061.81,748.22
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 E3 - cycleCharge  10/28/2022-11/27/2022  October   ,2225.9,187.44,1,10.00,9.00,194.10,1940.96,160.26
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Project Online Essentials - cycleCharge  10/28/2022-11/27/2022  October   ,41.9,35.28,1,1.00,9.00,36.54,36.54,3.02
Nordic Bioscience,30799968,Azure Active Directory Premium P1 - Azure Active Directory Premium P1 - renew  10/3/2022-11/2/2022  October   ,45.36,36.29,1,1.00,9.00,39.56,39.56,3.27
Nordic Bioscience,30799968,Microsoft 365 New Commerce Promotional Offer Annual - Visio Plan 2 - addQuantity  10/3/2022-10/27/2022  October   ,1195.68,75.52,1,16.00,25.00,74.73,1195.60,239.12
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Enterprise Mobility + Security E3 - addQuantity  10/25/2022-10/27/2022  October   ,-252.8,53.2,1,40.00,25.00,-6.31,-252.50,-50.50
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Office 365 E3 - addQuantity  10/25/2022-10/27/2022  October   ,-556.8,117.2,1,40.00,25.00,-13.91,-556.50,-111.30
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Office 365 E3 - addQuantity  10/25/2022-10/27/2022  October   ,570.31,134.72,1,41.00,25.00,13.91,570.41,114.08
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Enterprise Mobility + Security E3 - addQuantity  10/25/2022-10/27/2022  October   ,258.71,53.2,1,41.00,25.00,6.31,258.81,51.76
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Enterprise Mobility + Security E3 - cycleCharge  10/28/2022-11/27/2022  October   ,2590.38,53.2,1,41.00,25.00,63.18,2590.18,518.04
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Office 365 E3 - cycleCharge  10/28/2022-11/27/2022  October   ,5706.38,134.72,1,41.00,25.00,139.18,5706.18,1141.24
Bendix Transport,18236133,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 1) - cycleCharge  10/28/2022-11/27/2022  October   ,95.76,20.16,1,4.00,25.00,23.94,95.75,19.15
Personalegruppen A/S,28706650,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  10/5/2022-10/20/2022  October   ,-2511.24,110.8,1,34.00,25.0,-73.86,-2511.33,-502.27
Personalegruppen A/S,28706650,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  10/17/2022-10/20/2022  October   ,-646.1,110.8,1,35.00,25.00,-18.46,-646.19,-129.24
Personalegruppen A/S,28706650,Microsoft 365 Business Premium - Microsoft 365 Business Premium - cycleCharge  10/21/2022-11/20/2022  October   ,4986,110.8,1,36.00,25.00,138.50,4986.00,997.20
Personalegruppen A/S,28706650,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  10/5/2022-10/20/2022  October   ,2585.1,110.8,1,35.00,25.00,73.86,2585.19,517.04
Personalegruppen A/S,28706650,Exchange Online (Plan 1) - Exchange Online (Plan 1) - renew  10/28/2022-11/27/2022  October   ,30.24,24.19,1,1.00,25.0,30.24,30.24,6.05
Personalegruppen A/S,28706650,Microsoft 365 Business Premium - Microsoft 365 Business Premium - addQuantity  10/17/2022-10/20/2022  October   ,664.56,110.8,1,36.00,25.00,18.46,664.65,132.93
Grønbech & Sønner,12069502,Microsoft 365 New Commerce Promotional Offer Annual - Power BI Pro - addQuantity  10/5/2022-10/27/2022  October   ,-595.53,50.32,1,13.00,25.00,-45.81,-595.56,-119.11
