Customer,CustomerNo,Description,Quantity,Unit Price
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Phone System - cycleCharge  10/28/2022-11/27/2022  October   ,28.00,1338.05
BLS Capital Management,31179580,Power Automate per user plan - Power Automate per user plan - renew  10/28/2022-11/27/2022  October   ,1.00,106.20
BLS Capital Management,31179580,Microsoft Teams Room Pro - Microsoft Teams Rooms Pro - new  10/14/2022-10/27/2022  October   ,1.00,117.46
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 2) - cycleCharge  10/28/2022-11/27/2022  October   ,14.00,669.03
BLS Capital Management,31179580,Microsoft 365 Audio Conferencing Adoption Promo - Microsoft 365 Business Voice Adoption Promo - Microsoft 365 Audio Conferencing - cycleCharge  10/28/2022-11/27/2022  October   ,32.00,0.00
BLS Capital Management,31179580,Microsoft Teams Room Pro - Microsoft Teams Rooms Pro - cycleCharge  10/28/2022-11/27/2022  October   ,1.00,251.70
BLS Capital Management,31179580,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  10/18/2022-11/17/2022  October   ,32.00,403.20
BLS Capital Management,31179580,Dynamics 365 CRM New Commerce Promotional Offer Annual - Dynamics 365 Sales Enterprise Edition - cycleCharge  10/28/2022-11/27/2022  October   ,1.00,532.50
BLS Capital Management,31179580,Power Automate unattended RPA add-on - Power Automate unattended RPA add-on - new  10/4/2022-10/31/2022  October   ,1.00,959.23
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 Phone System - Virtual User - cycleCharge  10/28/2022-11/27/2022  October   ,10.00,0.00
BLS Capital Management,31179580,Power Automate per user with attended RPA plan - Power Automate per user with attended RPA plan - new  10/4/2022-10/31/2022  October   ,1.00,255.76
BLS Capital Management,31179580,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft 365 E3 - cycleCharge  10/28/2022-11/27/2022  October   ,34.00,7567.98
BLS Capital Management,31179580,Microsoft 365 E5 Compliance - Microsoft 365 E5 Compliance - cycleCharge  10/28/2022-11/27/2022  October   ,3.00,226.50
