Customer,CustomerNo,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Forsyning Helsingør,32059325,Microsoft Defender for Identity - Microsoft Defender for Identity - addQuantity  12/22/2022-3/13/2023  December   ,-18280.92,332.16,1,196.00,25.00,-93.28,-18281.90,-3656.38
Forsyning Helsingør,32059325,Microsoft Defender for Identity - Microsoft Defender for Identity - addQuantity  12/22/2022-3/13/2023  December   ,18842.56,332.16,1,202.00,25.0,93.28,18841.55,3768.31
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/7/2022-12/11/2022  December   ,-4437.94,210.88,1,101.00,25.0,-43.94,-4437.69,-887.54
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - addQuantity  12/7/2022-12/9/2022  December   ,-27.72,20.16,1,11.00,25.0,-2.53,-27.78,-5.56
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  12/19/2022-12/27/2022  December   ,-923.61,48.29,1,51.00,25.0,-18.11,-923.74,-184.75
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/19/2022-1/11/2023  December   ,-21020.24,210.88,1,103.00,25.0,-204.08,-21019.73,-4203.95
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 12/12/2022-1/11/2023  December   ,26887.2,210.88,1,102.00,25.0,263.60,26887.20,5377.44
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Cloud Apps - Microsoft Defender for Cloud Apps - renew  12/4/2022-1/3/2023  December   ,26.4,21.12,1,1.00,25.0,26.40,26.40,5.28
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  12/19/2022-12/27/2022  December   ,941.72,48.29,1,52.00,25.0,18.11,941.85,188.37
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/19/2022-1/11/2023  December   ,21224.32,210.88,1,104.00,25.0,204.08,21223.80,4244.76
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/14/2022-1/11/2023  December   ,25398.77,210.88,1,103.00,25.0,246.59,25398.51,5079.70
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Rooms Standard - Microsoft Teams Rooms Standard - cycleCharge  12/1/2022-12/31/2022  December   ,118,94.4,1,1.00,25.00,118.00,118.00,23.60
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - cycleCharge  12/10/2022-1/9/2023  December   ,302.4,20.16,1,12.00,25.0,25.20,302.40,60.48
Norli Liv og Pension Livsforsikring A/S,64145711,Power BI Premium Per User - Power BI Premium Per User - cycleCharge  12/12/2022-1/11/2023  December   ,125.9,100.72,1,1.00,25.00,125.90,125.90,25.18
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  12/23/2022-12/27/2022  December   ,533.18,48.29,1,53.00,25.0,10.06,533.31,106.66
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 F3 - Microsoft 365 F3 - cycleCharge 12/1/2022-12/31/2022  December   ,251.5,40.24,1,5.00,25.0,50.30,251.50,50.30
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - renew  12/28/2022-1/27/2023  December   ,3199.08,48.29,1,53.00,25.0,60.36,3199.21,639.84
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/14/2022-1/11/2023  December   ,-25152.18,210.88,1,102.00,25.0,-246.59,-25151.93,-5030.39
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 12/7/2022-12/11/2022  December   ,4481.88,210.88,1,102.00,25.0,43.94,4481.63,896.33
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - cycleCharge  12/28/2022-1/27/2023  December   ,0,0,1,50.00,25.00,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - cycleCharge  12/1/2022-12/31/2022  December   ,1234.8,10.08,1,98.00,25.0,12.60,1234.80,246.96
Norli Liv og Pension Livsforsikring A/S,64145711,Exchange Online (Plan 1) - Exchange Online (Plan 1) - addQuantity  12/7/2022-12/9/2022  December   ,30.36,20.16,1,12.00,25.0,2.53,30.30,6.06
Norli Liv og Pension Livsforsikring A/S,64145711,Windows 365 Enterprise - Windows 365 Enterprise 4 vCPU; 16 GB; 512 GB - cycleCharge  12/12/2022-1/11/2023  December   ,1312.92,525.17,1,2.00,25.00,656.46,1312.93,262.59
Norli Liv og Pension Livsforsikring A/S,64145711,Power BI Pro - Power BI Pro - new 12/30/2022-12/31/2022  December   ,4.06,50.32,1,1.00,25.0,4.06,4.06,0.81
Norli Liv og Pension Livsforsikring A/S,64145711,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - addQuantity  12/23/2022-12/27/2022  December   ,-523.12,48.29,1,52.00,25.0,-10.06,-523.25,-104.65
