Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
New Co,,0,0.004,7.3561,0.09,n/a,0.03,0.00,0.00
New Co,,0,0.004,7.3561,0.40,n/a,0.03,0.01,0.01
New Co,,0,0.087,7.3561,0.21,n/a,0.00,0.00,0.00
New Co,,4.23,0.004,7.3561,115.11,n/a,0.03,3.39,0.01
New Co,,0,0.022,7.3561,0.00,n/a,0.16,0.00,0.00
New Co,,0.64,0.1,7.3561,0.73,n/a,0.74,0.54,0.03
New Co,,0,0,7.3561,0.18,n/a,0.00,0.00,0.00
New Co,,0,0.02,7.3561,0.01,n/a,0.15,0.00,0.00
New Co,,0,0.05,7.3561,0.04,n/a,0.37,0.01,0.01
New Co,,0,0.045,7.3561,0.00,n/a,0.33,0.00,0.00
New Co,,22.15,0.018,7.3561,134.34,n/a,0.13,17.79,0.07
New Co,,0,2.76,7.3561,0.00,n/a,0.00,0.00,0.00
New Co,,0,0.004,7.3561,0.25,n/a,0.03,0.01,0.01
New Co,,0,0.000002,7.3561,1.00,n/a,0.00,0.00,0.00
New Co,,0,0.00036,7.3561,0.59,n/a,0.00,0.00,0.00
New Co,,0,0.0015,7.3561,1.37,n/a,0.01,0.02,0.02
New Co,,0,0.06,7.3561,0.00,n/a,0.00,0.00,0.00
New Co,,0,0.0043,7.3561,0.01,n/a,0.03,0.00,0.00
New Co,,60.31,0.82,7.3561,8.00,n/a,6.03,48.26,0.01
New Co,,0,0,7.3561,0.44,n/a,0.00,0.00,0.00
New Co,,0,0.00036,7.3561,0.01,n/a,0.00,0.00,0.00
New Co,,0,0,7.3561,0.11,n/a,0.00,0.00,0.00
New Co,,0.18,1,7.3561,0.02,n/a,7.36,0.17,0.03
New Co,,0,0.00036,7.3561,0.00,n/a,0.00,0.00,0.00
New Co,,0,0.00036,7.3561,0.00,n/a,0.00,0.00,0.00
New Co,,1.28,0.06,7.3561,2.39,n/a,0.44,1.05,0.03
New Co,,0,0.00036,7.3561,0.01,n/a,0.00,0.00,0.00
New Co,,0,0.05,7.3561,0.00,n/a,0.37,0.00,0.00
New Co,,0.18,0.004,7.3561,6.24,n/a,0.03,0.18,0.04
New Co,,0,0.00036,7.3561,0.00,n/a,0.00,0.00,0.00
New Co,,0,0.0015,7.3561,0.69,n/a,0.01,0.01,0.01
New Co,,0,0.000016,7.3561,0.28,n/a,0.00,0.00,0.00
New Co,,0.09,0.015,7.3561,0.95,n/a,0.11,0.10,0.03
New Co,,181.08,48.29,1,3.00,n/a,48.29,144.87,0.00
New Co,,0,0,1,25.00,n/a,0.00,0.00,0.00
New Co,,0,0,7.3561,1.00,n/a,0.00,0.00,0.00
Skypecall.me,,0,0.00036,7.3561,0.91,0.00,0.00,0.00,0.00
Skypecall.me,,104.64,0.018,7.3561,744.00,0.00,0.11,83.74,0.03
Skypecall.me,,0,0.045,7.3561,0.01,0.00,0.28,0.00,0.00
Skypecall.me,,0,0.05,7.3561,0.01,0.00,0.00,0.00,0.00
Skypecall.me,,2323.88,148.68,7.3561,2.00,0.00,929.65,1859.18,0.08
Skypecall.me,,1805.64,0.155261,7.3561,1488.00,0.00,0.97,1444.55,0.04
Skypecall.me,,169.36,21.68,7.3561,1.00,0.00,135.56,135.55,0.06
Skypecall.me,,23.16,0.004,7.3561,743.00,0.00,0.03,18.58,0.05
Skypecall.me,,0.73,0.005,7.3561,19.78,0.00,0.03,0.62,0.04
Skypecall.me,,20.86,0.0036,7.3561,743.00,0.00,0.02,16.72,0.03
Skypecall.me,,0,0.05,7.3561,0.00,0.00,0.31,0.00,0.00
Skypecall.me,,0,0,7.3561,1.00,0.00,0.00,0.00,0.00
Skypecall.me,,0,0.004,7.3561,0.00,0.00,0.03,0.00,0.00
Skypecall.me,,0,0.02,7.3561,0.01,0.00,0.13,0.00,0.00
Skypecall.me,,0,0.004,7.3561,0.21,0.00,0.03,0.01,0.01
Skypecall.me,,41.1,0.1265,7.3561,41.60,0.00,0.79,32.90,0.02
Skypecall.me,,0,0.05,7.3561,0.00,0.00,0.31,0.00,0.00
Skypecall.me,,0,0,7.3561,0.00,0.00,0.00,0.00,0.00
Skypecall.me,,1162.54,0.099966,7.3561,1488.00,0.00,0.63,930.08,0.05
Skypecall.me,,3206.89,0.564,7.3561,727.51,0.00,3.53,2565.57,0.06
Skypecall.me,,0,0,7.3561,1.00,0.00,0.00,0.00,0.00
Skypecall.me,,871.96,0.15,7.3561,743.79,0.00,0.94,697.61,0.04
Skypecall.me,,1232.69,0.212,7.3561,744.00,0.00,1.33,986.22,0.07
Skypecall.me,,0,2.76,7.3561,0.04,0.00,0.00,0.00,0.00
Skypecall.me,,0,0.022,7.3561,0.01,0.00,0.14,0.00,0.00
Skypecall.me,,0,0.087,7.3561,0.01,0.00,0.00,0.00,0.00
Skypecall.me,,117.24,15,7.3561,1.00,0.00,93.79,93.79,0.00
Skypecall.me,,57.38,0.005,7.3561,1469.83,0.00,0.03,45.95,0.05
Skypecall.me,,0,0.004,7.3561,0.03,0.00,0.03,0.00,0.00
Skypecall.me,,581.49,0.1,7.3561,744.00,0.00,0.63,465.20,0.01
Skypecall.me,,145.36,0.025,7.3561,744.00,0.00,0.16,116.30,0.01
SBC-Teams GoWingu,Virtual Machines Dv2 Series - Virtual Machines Dv2 Series - D1 v2 - EU West - customerCredit  6/1/2022-6/30/2022  August   ,-1.02,0.0679,6.9453,688.35,0.00,-0.40,-275.92,-275.11
SBC-Teams GoWingu,Virtual Machines Dv2 Series - Virtual Machines Dv2 Series - D3 v2 - EU West - customerCredit  6/1/2022-6/30/2022  August   ,-7.15,0.272,6.9453,11.00,0.00,-1.61,-17.66,-11.94
SBC-Teams GoWingu,Standard Page Blob - Standard Page Blob - LRS - new  8/1/2022-8/31/2022  August   ,0,0.00036,7.3561,26.82,0.00,0.00,0.06,0.06
SBC-Teams GoWingu,Virtual Network Peering - Virtual Network Peering - new  8/1/2022-8/31/2022  August   ,17.19,0.01,7.3561,220.85,0.00,0.06,13.81,0.06
SBC-Teams GoWingu,Bandwidth Inter-Region - Bandwidth Inter-Region - Intra Continent - Europe - new  8/1/2022-8/31/2022  August   ,5.6,0.02,7.3561,36.16,0.00,0.13,4.52,0.04
SBC-Teams GoWingu,Azure App Service Free Plan - Azure App Service Free Plan - F1 - new  8/1/2022-8/31/2022  August   ,0,0,7.3561,2.00,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Virtual Machines BS Series - Virtual Machines BS Series - B1ms - EU West - new  8/1/2022-8/31/2022  August   ,139.49,0.024,7.3561,743.98,0.00,0.15,111.65,0.06
SBC-Teams GoWingu,Bandwidth Inter-Region - Bandwidth Inter-Region - Inter Continent - Intercontinental - new  8/1/2022-8/31/2022  August   ,2.56,0.05,7.3561,6.75,0.00,0.31,2.11,0.06
SBC-Teams GoWingu,General Block Blob - General Block Blob - LRS - new  8/1/2022-8/31/2022  August   ,0,0.00036,7.3561,1.43,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Tables - Tables - LRS - new 8/1/2022-8/31/2022  August   ,0,0.045,7.3561,0.03,0.00,0.28,0.01,0.01
SBC-Teams GoWingu,Premium SSD Managed Disks - Premium SSD Managed Disks - P20 - EU West - new  8/1/2022-8/31/2022  August   ,629.4,80.54,7.3561,1.00,0.00,503.59,503.56,0.04
SBC-Teams GoWingu,Premium SSD Managed Disks - Premium SSD Managed Disks - P4 - EU West - new  8/1/2022-8/31/2022  August   ,136.09,5.8072,7.3561,3.00,0.00,36.31,108.92,0.05
SBC-Teams GoWingu,Backup - Backup - Azure VM - EU West - new 8/1/2022-8/31/2022  August   ,38.98,10,7.3561,0.50,0.00,62.53,31.26,0.08
SBC-Teams GoWingu,Standard Page Blob - Standard Page Blob - LRS - new  8/1/2022-8/31/2022  August   ,0,0.045,7.3561,0.04,0.00,0.28,0.01,0.01
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - Snapshots LRS - EU West - new  8/1/2022-8/31/2022  August   ,0.55,0.05,7.3561,1.55,0.00,0.31,0.48,0.04
SBC-Teams GoWingu,Tables - Tables - LRS - new 8/1/2022-8/31/2022  August   ,0,0.00036,7.3561,3.17,0.00,0.00,0.01,0.01
SBC-Teams GoWingu,Bandwidth Inter-Region - Bandwidth Inter-Region - Inter Continent - Intercontinental - new  8/1/2022-8/31/2022  August   ,0,0.05,7.3561,5.00,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Backup - Backup - Standard - EU West - new 8/1/2022-8/31/2022  August   ,1.38,0.0448,7.3561,4.09,0.00,0.28,1.15,0.05
SBC-Teams GoWingu,Files - Files - LRS - new 8/1/2022-8/31/2022  August   ,0,0.015,7.3561,0.06,0.00,0.09,0.01,0.01
SBC-Teams GoWingu,Load Balancer - Load Balancer - new 8/1/2022-8/31/2022  August   ,639.61,0.01,7.3561,8184.00,0.00,0.06,511.72,0.03
SBC-Teams GoWingu,VPN Gateway - VPN Gateway - Basic - new 8/1/2022-8/31/2022  August   ,209.28,0.036,7.3561,744.00,0.00,0.23,167.47,0.05
SBC-Teams GoWingu,Virtual Machines Dv2 Series - Virtual Machines Dv2 Series - D1 v2 - EU West - new  8/1/2022-8/31/2022  August   ,392.9,0.0679,7.3561,740.37,0.00,0.42,314.33,0.01
SBC-Teams GoWingu,Files - Files - LRS - new 8/1/2022-8/31/2022  August   ,0,0.0015,7.3561,0.08,0.00,0.01,0.00,0.00
SBC-Teams GoWingu,Load Balancer - Load Balancer - new 8/1/2022-8/31/2022  August   ,290.74,0.025,7.3561,1488.00,0.00,0.16,232.60,0.01
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - S4 LRS - EU West - new  8/1/2022-8/31/2022  August   ,71.99,1.536,7.3561,6.00,0.00,9.60,57.62,0.03
SBC-Teams GoWingu,Standard SSD Managed Disks - Standard SSD Managed Disks - E4 LRS - new  8/1/2022-8/31/2022  August   ,17.38,0.002,7.3561,1112.71,0.00,0.01,13.91,0.01
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - Snapshots ZRS - EU West - new  8/1/2022-8/31/2022  August   ,2.75,0.05,7.3561,7.14,0.00,0.31,2.23,0.03
SBC-Teams GoWingu,General Block Blob - General Block Blob - LRS - new  8/1/2022-8/31/2022  August   ,0,0.00036,7.3561,0.01,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Standard Page Blob - Standard Page Blob - LRS - new  8/1/2022-8/31/2022  August   ,0.09,0.00036,7.3561,47.49,0.00,0.00,0.11,0.04
SBC-Teams GoWingu,Virtual Network Peering - Virtual Network Peering - new  8/1/2022-8/31/2022  August   ,20.86,0.01,7.3561,268.23,0.00,0.06,16.77,0.08
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - S4 LRS - new  8/1/2022-8/31/2022  August   ,5.24,0.0005,7.3561,1346.41,0.00,0.00,4.21,0.02
SBC-Teams GoWingu,Azure Active Directory Domain Services - Azure Active Directory Domain Services - Standard - new  8/1/2022-8/31/2022  August   ,871.96,0.15,7.3561,743.79,0.00,0.94,697.61,0.04
SBC-Teams GoWingu,Rtn Preference: MGN - Rtn Preference: MGN - new 8/1/2022-8/31/2022  August   ,0,0.087,7.3561,86.78,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,General Block Blob - General Block Blob - LRS - new  8/1/2022-8/31/2022  August   ,1.1,0.00036,7.3561,400.01,0.00,0.00,0.90,0.02
SBC-Teams GoWingu,Virtual Machines Dv2 Series - Virtual Machines Dv2 Series - D3 v2 - EU West - new  8/1/2022-8/31/2022  August   ,1,0.272,7.3561,0.50,0.00,1.70,0.85,0.05
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - S6 LRS - EU West - new  8/1/2022-8/31/2022  August   ,70.43,3.008,7.3561,3.00,0.00,18.81,56.42,0.08
SBC-Teams GoWingu,IP Addresses - IP Addresses - Standard IPv4 - new 8/1/2022-8/31/2022  August   ,406.41,0.005,7.3561,10402.00,0.00,0.03,325.20,0.07
SBC-Teams GoWingu,Files - Files - LRS - new 8/1/2022-8/31/2022  August   ,0,0.0015,7.3561,0.02,0.00,0.01,0.00,0.00
SBC-Teams GoWingu,Rtn Preference: MGN - Rtn Preference: MGN - new 8/1/2022-8/31/2022  August   ,0,0,7.3561,0.09,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Standard SSD Managed Disks - Standard SSD Managed Disks - E4 LRS - EU West - new  8/1/2022-8/31/2022  August   ,37.41,2.4,7.3561,2.00,0.00,15.01,30.01,0.08
SBC-Teams GoWingu,IP Addresses - IP Addresses - Basic IPv4 - new 8/1/2022-8/31/2022  August   ,20.86,0.0036,7.3561,743.00,0.00,0.02,16.72,0.03
SBC-Teams GoWingu,Load Balancer - Load Balancer - new 8/1/2022-8/31/2022  August   ,3.58,0.005,7.3561,93.90,0.00,0.03,2.94,0.08
SBC-Teams GoWingu,Virtual Machines RI - Virtual Machines RI - new 8/1/2022-8/31/2022  August   ,0,0,7.3561,2978.35,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Virtual Machines DSv2 Series - Reserved VM Instance; Standard_DS3_v2; EU West; 3 Years - cycleCharge  8/7/2022-9/6/2022  August   ,2876.6,78.21,7.3561,4.00,0.00,575.32,2301.28,0.00
Grønbech & Sønner,Microsoft 365 New Commerce Promotional Offer Annual - Visio Plan 2 - addQuantity  8/1/2022-8/27/2022  August   ,-390.6,75.52,1,5.00,25.00,-78.11,-390.56,-78.11
Grønbech & Sønner,Microsoft 365 New Commerce Promotional Offer Annual - Microsoft Teams Rooms Standard - cycleCharge  8/28/2022-9/27/2022  August   ,112.1,94.4,1,1.00,25.0,112.10,112.10,22.42
Grønbech & Sønner,Microsoft 365 New Commerce Promotional Offer Annual - Exchange Online (Plan 2) - cycleCharge  8/28/2022-9/27/2022  August   ,47.79,40.24,1,1.00,25.00,47.79,47.79,9.56
