Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
SBC-Teams GoWingu,Virtual Machines Dv2 Series - Virtual Machines Dv2 Series - D1 v2 - EU West - new  8/1/2021-8/31/2021  August   ,270.59,0.0679,6.30325,744.00,0.00,0.36,270.66,0.07
SBC-Teams GoWingu,Bandwidth Inter-Region - Bandwidth Inter-Region - Inter Continent - Intercontinental - new  8/1/2021-8/31/2021  August   ,0.18,0.05,6.30325,0.94,0.00,0.27,0.25,0.07
SBC-Teams GoWingu,Virtual Network Peering - Virtual Network Peering - new  8/1/2021-8/31/2021  August   ,6.36,0.01,6.30325,119.60,0.00,0.05,6.41,0.05
SBC-Teams GoWingu,Files - Files - LRS - new 8/1/2021-8/31/2021  August   ,0,0.0015,6.30325,0.01,0.00,0.01,0.00,0.00
SBC-Teams GoWingu,Files - Files - LRS - new 8/1/2021-8/31/2021  August   ,0,0.0015,6.30325,0.02,0.00,0.01,0.00,0.00
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - S6 LRS - EU West - new  8/1/2021-8/31/2021  August   ,48.28,3.008,6.30325,3.00,0.00,16.12,48.35,0.07
SBC-Teams GoWingu,Standard SSD Managed Disks - Standard SSD Managed Disks - E4 LRS - new  8/1/2021-8/31/2021  August   ,9.39,0.002,6.30325,877.80,0.00,0.01,9.41,0.02
SBC-Teams GoWingu,Load Balancer - Load Balancer - new 8/1/2021-8/31/2021  August   ,198.74,0.025,6.30325,1484.00,0.00,0.13,198.77,0.03
SBC-Teams GoWingu,Load Balancer - Load Balancer - new 8/1/2021-8/31/2021  August   ,438.45,0.01,6.30325,8184.00,0.00,0.05,438.48,0.03
SBC-Teams GoWingu,Premium SSD Managed Disks - Premium SSD Managed Disks - P20 - EU West - new  8/1/2021-8/31/2021  August   ,431.45,80.54,6.30325,1.00,0.00,431.51,431.49,0.04
SBC-Teams GoWingu,General Block Blob - General Block Blob - LRS - new  8/1/2021-8/31/2021  August   ,0,0.00036,6.30325,0.00,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - Snapshots LRS - EU West - new  8/1/2021-8/31/2021  August   ,0.06,0.05,6.30325,0.33,0.00,0.27,0.09,0.03
SBC-Teams GoWingu,Virtual Network Peering - Virtual Network Peering - new  8/1/2021-8/31/2021  August   ,5.86,0.01,6.30325,109.88,0.00,0.05,5.89,0.03
SBC-Teams GoWingu,Azure App Service Free Plan - Azure App Service Free Plan - F1 - new  8/1/2021-8/31/2021  August   ,0,0,6.30325,2.00,0.00,0.00,0.00,0.00
SBC-Teams GoWingu,Standard Page Blob - Standard Page Blob - LRS - new  8/1/2021-8/31/2021  August   ,0.06,0.00036,6.30325,57.62,0.00,0.00,0.11,0.05
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - S4 LRS - EU West - new  8/1/2021-8/31/2021  August   ,49.35,1.536,6.30325,6.00,0.00,8.23,49.37,0.02
SBC-Teams GoWingu,Tables - Tables - LRS - new 8/1/2021-8/31/2021  August   ,0,0.00036,6.30325,3.23,0.00,0.00,0.01,0.01
SBC-Teams GoWingu,Azure Active Directory Domain Services - Azure Active Directory Domain Services - Standard - new  8/1/2021-8/31/2021  August   ,597.73,0.15,6.30325,743.79,0.00,0.80,597.76,0.03
SBC-Teams GoWingu,IP Addresses - IP Addresses - Basic - new 8/1/2021-8/31/2021  August   ,43.17,0.0036,6.30325,2240.00,0.00,0.02,43.20,0.03
SBC-Teams GoWingu,Premium SSD Managed Disks - Premium SSD Managed Disks - P4 - EU West - new  8/1/2021-8/31/2021  August   ,93.28,5.8072,6.30325,3.00,0.00,31.11,93.33,0.05
SBC-Teams GoWingu,Virtual Machines Dv2 Series - Virtual Machines Dv2 Series - D3 v2 - EU West - new  8/1/2021-8/31/2021  August   ,4336.69,0.272,6.30325,2975.85,0.00,1.46,4336.74,0.05
SBC-Teams GoWingu,Backup - Backup - Standard - new 8/1/2021-8/31/2021  August   ,0.94,0.0448,6.30325,4.09,0.00,0.24,0.98,0.04
SBC-Teams GoWingu,General Block Blob - General Block Blob - LRS - new  8/1/2021-8/31/2021  August   ,0.75,0.00036,6.30325,400.05,0.00,0.00,0.77,0.02
SBC-Teams GoWingu,Tables - Tables - LRS - new 8/1/2021-8/31/2021  August   ,0,0.045,6.30325,0.03,0.00,0.24,0.01,0.01
