Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
BLS Capital Management,Bandwidth Inter-Region - Bandwidth Inter-Region - Inter Continent - Intercontinental - New  3/1/2021-3/31/2021  March   ,0,0.05,6.13475,0.17,65.00,0.00,0.00,0.00
BLS Capital Management,Standard Page Blob v2 - Standard Page Blob v2 - LRS - EU West - New  3/1/2021-3/31/2021  March   ,0,0.00054,6.13475,8.93,65.00,0.00,0.04,0.04
BLS Capital Management,Standard Page Blob - Standard Page Blob - LRS - New  3/1/2021-3/31/2021  March   ,0,0.00036,6.13475,4.46,65.00,0.00,0.01,0.01
BLS Capital Management,Bandwidth - Bandwidth - New 3/1/2021-3/31/2021  March   ,0,0,6.13475,0.02,65.00,0.00,0.00,0.00
BLS Capital Management,Standard Page Blob v2 - Standard Page Blob v2 - GRS - EU West - New  3/1/2021-3/31/2021  March   ,0,0.00054,6.13475,4.46,65.00,0.00,0.02,0.02
BLS Capital Management,Tables - Tables - LRS - New 3/1/2021-3/31/2021  March   ,0,0.00036,6.13475,0.91,65.00,0.00,0.00,0.00
BLS Capital Management,Tables - Tables - LRS - New 3/1/2021-3/31/2021  March   ,0,0.045,6.13475,0.01,65.00,0.39,0.00,0.00
BLS Capital Management,Bandwidth - Bandwidth - New 3/1/2021-3/31/2021  March   ,0,0.087,6.13475,0.69,65.00,0.00,0.00,0.00
BLS Capital Management,Tables - Tables - RA-GRS - New 3/1/2021-3/31/2021  March   ,0,0.075,6.13475,0.01,65.00,0.65,0.01,0.01
BLS Capital Management,Bandwidth Inter-Region - Bandwidth Inter-Region - Intra Continent - Europe - New  3/1/2021-3/31/2021  March   ,0,0.02,6.13475,0.04,65.00,0.17,0.01,0.01
BLS Capital Management,Storage - Bandwidth - Storage - Bandwidth - Geo-Replication - EU West - New  3/1/2021-3/31/2021  March   ,0,0,6.13475,0.06,65.00,0.00,0.00,0.00
BLS Capital Management,Standard Page Blob - Standard Page Blob - LRS - New  3/1/2021-3/31/2021  March   ,0,0.00036,6.13475,8.93,65.00,0.00,0.03,0.03
BLS Capital Management,Tables - Tables - GRS - New 3/1/2021-3/31/2021  March   ,0,0.00036,6.13475,0.90,65.00,0.00,0.00,0.00
