Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
prebenandersen.dk,Blob Storage - Blob Storage - Hot LRS - EU North - new  10/1/2021-10/31/2021  October   ,0,0.05,6.3699,0.07,30.00,0.35,0.02,0.02
prebenandersen.dk,Blob Storage - Blob Storage - Hot LRS - EU North - new  10/1/2021-10/31/2021  October   ,0,0.05,6.3699,0.14,30.00,0.35,0.05,0.05
prebenandersen.dk,Backup - Backup - Standard - new 10/1/2021-10/31/2021  October   ,208.05,0.0224,6.3699,1372.55,30.00,0.16,216.41,49.97
prebenandersen.dk,Tables - Tables - LRS - new 10/1/2021-10/31/2021  October   ,0,0.00036,6.3699,0.45,30.00,0.00,0.00,0.00
prebenandersen.dk,Tables - Tables - LRS - new 10/1/2021-10/31/2021  October   ,0,0.045,6.3699,0.00,30.00,0.32,0.00,0.00
prebenandersen.dk,Backup - Backup - Azure VM - new 10/1/2021-10/31/2021  October   ,169.11,10,6.3699,2.50,30.00,70.39,175.97,40.68
prebenandersen.dk,Blob Storage - Blob Storage - Hot LRS - EU North - new  10/1/2021-10/31/2021  October   ,0,0.022,6.3699,0.01,30.00,0.15,0.00,0.00
AVS Danmark,VPN Gateway - VPN Gateway-VpnGw1  - new 10/1/2021-10/31/2021  October   ,956.68,0.19,6.3699,744.00,22.00,1.26,933.77,168.43
AVS Danmark,IP-adresser - IP-adresser-Basis  - new 10/1/2021-10/31/2021  October   ,20.06,0.004,6.3699,742.00,22.00,0.03,19.61,3.56
AVS Danmark,Backup - Backup-Azure VM  - new 10/1/2021-10/31/2021  October   ,135.28,10,6.3699,2.00,22.00,66.06,132.11,23.89
AVS Danmark,Båndbredde mellem områder - Båndbredde mellem områder - På kontinenter - Europa - new  10/1/2021-10/31/2021  October   ,1.03,0.02,6.3699,8.19,22.00,0.13,1.08,0.26
AVS Danmark,Premium SSD-administrerede diske - Premium SSD-administrerede diske-P10 -Det nordlige Europa - new  10/1/2021-10/31/2021  October   ,533.48,19.71,6.3699,4.00,22.00,130.20,520.75,93.97
AVS Danmark,Blob Storage - Blob Storage - Varm LRS - Det nordlige Europa - new  10/1/2021-10/31/2021  October   ,0,0.004,6.3699,0.07,22.00,0.03,0.00,0.00
AVS Danmark,Virtual Machines Dav4-serien - Virtual Machines Dav4-serien - D4a v4 - Det nordlige Europa - new  10/1/2021-10/31/2021  October   ,2153.58,0.214,6.3699,1486.93,22.00,1.41,2101.92,379.06
AVS Danmark,Bandwidth - Bandwidth - new 10/1/2021-10/31/2021  October   ,0,0.087,6.3699,5.00,22.00,0.00,0.00,0.00
AVS Danmark,Tabeller - Tabeller - LRS - new 10/1/2021-10/31/2021  October   ,0,0.00036,6.3699,0.01,22.00,0.00,0.00,0.00
AVS Danmark,IP-adresser - IP-adresser-Standard  - new 10/1/2021-10/31/2021  October   ,25.08,0.005,6.3699,742.00,22.00,0.03,24.51,4.45
AVS Danmark,Azure Defender til SQL - Azure Defender til SQL-Standard - new  10/1/2021-10/31/2021  October   ,101.51,15,6.3699,1.00,22.00,99.08,99.08,17.87
AVS Danmark,Premium-filer - Premium-filer - LRS - Det vestlige Europa - new  10/1/2021-10/31/2021  October   ,129.94,0.192,6.3699,100.00,22.00,1.27,126.83,22.88
AVS Danmark,Blob Storage - Blob Storage - Varm LRS - Det nordlige Europa - new  10/1/2021-10/31/2021  October   ,22.61,0.05,6.3699,66.94,22.00,0.33,22.11,4.02
